publisher,year,market_share_pct
Aksys Games,2013,0.022292678093728317
Aksys Games,2014,0.19083456524660675
Aksys Games,2015,0.20836950859524234
Aksys Games,2016,0.37626133059688727
Aksys Games,2017,0.3751563151313047
Aksys Games,2018,0.28386050283860503
Alawar Entertainment,2009,0.005543467716229892
Alawar Entertainment,2011,0.0034780189204229287
Alawar Entertainment,2015,0.0034728251432540385
Alchemist,2006,0.22288528597620183
Alchemist,2007,0.029197977655863405
Alchemist,2008,0.04025332760841563
Alchemist,2009,0.012472802361517259
Alchemist,2010,0.041302086520222735
Alchemist,2011,0.04869226488592101
Alchemist,2012,0.05164925460734832
Alchemist,2013,0.04953928465272959
Alchemist,2015,0.02778260114603231
Alliance Digital Media,2017,0.03126302626094205
Alternative Software,2010,0.010707948357094784
Alternative Software,2015,0.006945650286508077
Alternative Software,2016,0.07981300952055184
Altron,2001,0.019618834080717486
Alvion,2009,0.002771733858114946
Alvion,2010,0.0030594138163127955
American Softworks,1996,0.10475973582327486
Angel Studios,1991,0.859513930053349
Angel Studios,1994,0.12312743689718857
Angel Studios,1995,0.027517886626307095
Answer Software,1982,0.8838607035531199
Answer Software,1983,1.3322675193178792
Anuman,2016,0.02850464625733994
Aqua Plus,1999,0.0448746714532983
Aqua Plus,2006,0.019772081820469516
Aqua Plus,2007,0.0015367356660980738
Aqua Plus,2008,0.0107342206955775
Aqua Plus,2009,0.016630403148689677
Aqua Plus,2010,0.009178241448938388
Aqua Plus,2011,0.029563160823594895
Aqua Plus,2012,0.035215400868646586
Aqua Plus,2013,0.04458535618745663
Aqua Plus,2015,0.10071192915436711
Aqua Plus,2016,0.07981300952055181
Aqua Plus,2018,0.03379291700459583
Aquaplus,2008,0.0107342206955775
Aquaplus,2009,0.011086935432459784
Aquaplus,2011,0.0017390094602114643
Aquaplus,2017,0.03126302626094205
Aquaplus,2018,0.020275750202757497
Aques,1997,0.0723033123954991
Arc System Works,2007,0.0015367356660980738
Arc System Works,2008,0.03488621726062687
Arc System Works,2009,0.009701068503402313
Arc System Works,2010,0.015297069081563978
Arc System Works,2012,0.01643385373870174
Arc System Works,2013,0.11394035470127807
Arc System Works,2014,0.22308829458406138
Arc System Works,2015,0.031255426289286355
Arc System Works,2016,0.0456074340117439
Arc System Works,2017,0.026052521884118378
Arc System Works,2018,0.13517166801838337
Arc System Works,2019,0.392156862745098
Arena Entertainment,1992,5.7274602596772235
Arena Entertainment,1993,8.277797264117854
ArenaNet,2017,0.005210504376823675
Aria,2006,0.01258223388575333
Arika,2002,0.00472232716282584
Arika,2004,0.01127192389196988
Arika,2008,0.002683555173894375
ArtDink,1994,0.2565154935358095
ArtDink,1996,0.10020496470052379
ArtDink,1998,0.030863139124172684
ArtDink,2001,0.014013452914798203
ArtDink,2009,0.005543467716229892
ArtDink,2010,0.0030594138163127955
ArtDink,2013,0.004953928465272959
ArtDink,2014,0.016126864668727328
ArtDink,2016,0.017102787754403964
ArtDink,2017,0.01042100875364735
Aruze Corp,1999,0.17308801846272198
Aruze Corp,2000,0.2675920893088598
Ascaron Entertainment,2012,0.0023476933912431053
Ascaron Entertainment GmbH,2004,0.009017539113575904
Ascaron Entertainment GmbH,2008,0.009392443108630312
Asgard,2010,0.04283179342837914
Asgard,2011,0.010434056761268786
Asgard,2012,0.0023476933912431053
Asgard,2013,0.017338749628455358
Asgard,2014,0.002687810778121221
Asgard,2015,0.006945650286508077
Asmik Ace Entertainment,1996,0.045547711227510806
Asmik Ace Entertainment,2000,0.03763013755905841
Asmik Ace Entertainment,2006,0.007189847934716187
Asmik Corp,1994,0.07182433819002668
Asmik Corp,1995,0.09172628875435698
Aspyr,2003,0.004946699314882149
Aspyr,2007,0.0015367356660980738
Aspyr,2008,0.014759553456419062
Aspyr,2009,0.07760854802721849
Assemble Entertainment,2018,0.006758583400919165
Astragon,2009,0.006929334645287366
Astragon,2010,0.08107446613228908
Astragon,2011,0.006956037840845857
Astragon,2016,0.017102787754403964
Asylum Entertainment,2010,0.07954475922413268
Asylum Entertainment,2011,0.012173066221480252
Atari,1977,100
Atari,1978,91.10169491525424
Atari,1979,100
Atari,1980,67.63754045307442
Atari,1981,32.03433078172118
Atari,1982,47.5693830652289
Atari,1983,37.91633359978684
Atari,1984,6.248847926267279
Atari,1986,1.6240157480314956
Atari,1987,4.720853858784892
Atari,1988,1.1229646266142617
Atari,1989,0.19538882375928093
Atari,1990,0.28126757922370144
Atari,1998,0.5006687013476901
Atari,1999,1.009680107699212
Atari,2000,2.0111217962118997
Atari,2001,2.2954035874439462
Atari,2002,5.017472610502455
Atari,2003,4.672157502906187
Atari,2004,2.7210424275215277
Atari,2005,1.6493753554688266
Atari,2006,0.8178452025739659
Atari,2007,1.7626358090144905
Atari,2008,1.3109167024474015
Atari,2009,0.6430422550826677
Atari,2010,0.23863427767239803
Atari,2011,0.3912771285475794
Atari,2012,0.011738466956215526
Atari,2016,0.15392508978963568
Atari,2018,0.040551500405515
Athena,1999,0.006410667350471185
Athena,2001,0.019618834080717486
Atlus,1994,0.4617278883644571
Atlus,1995,1.0181618051733625
Atlus,1996,0.37349123206558865
Atlus,1997,0.546793799990962
Atlus,1998,0.0994478927334453
Atlus,1999,0.1859093531636644
Atlus,2000,0.3344901116360748
Atlus,2001,0.025224215246636768
Atlus,2002,0.23611635814129198
Atlus,2003,0.1236674828720537
Atlus,2004,0.04283331078948554
Atlus,2005,0.14316813430347725
Atlus,2006,0.044936549591976176
Atlus,2007,0.17826133726737659
Atlus,2008,0.4709639330184627
Atlus,2009,0.33676566376096595
Atlus,2010,0.2524016398458056
