publisher,year,publisher_global_sales,game_count,avg_sales_per_game,platform_count,genre_count,year_total_sales,market_share_pct,publisher_rank_in_year
Activision,1996,1.9500000000000002,3,0.65,3,3,219.55000000000004,0.8881803689364609,17
Activision,1997,2.8100000000000005,4,0.7025,2,3,221.29000000000005,1.2698269239459532,17
Activision,1998,9.58,16,0.59875,3,9,291.6100000000001,3.285209697884159,8
Activision,1999,11.379999999999999,15,0.7586666666666666,3,9,311.97999999999996,3.647669722418104,7
Activision,2000,14.75,14,1.0535714285714284,4,6,239.17,6.167161433290128,5
Activision,2001,18.590000000000003,23,0.8082608695652174,6,8,356.80000000000007,5.210201793721973,7
Activision,2002,26.099999999999994,52,0.5019230769230769,5,9,423.5200000000001,6.162636947487719,5
Activision,2003,21.390000000000008,35,0.6111428571428571,5,9,404.3099999999997,5.29049491726646,5
Activision,2004,39.3,48,0.81875,6,8,443.5800000000001,8.859732179088324,3
Activision,2005,38.91000000000001,77,0.5053246753246754,8,9,509.8899999999998,7.631057679107263,3
Activision,2006,20.03000000000001,54,0.37092592592592594,10,7,556.3399999999995,3.6003163533091325,6
Activision,2007,67.54,84,0.8040476190476191,9,10,650.7300000000002,10.379112688826392,3
Activision,2008,68.06999999999998,92,0.7398913043478261,7,7,745.2800000000001,9.133480034349503,3
Activision,2009,81.67999999999996,130,0.6283076923076923,7,8,721.5699999999994,11.319761076541436,3
Activision,2010,70.43,98,0.7186734693877553,7,10,653.7199999999998,10.773725754145511,2
Activision,2011,52.34000000000001,79,0.6625316455696203,6,9,575.0399999999997,9.101975514746806,3
Activision,2012,57.800000000000004,53,1.0905660377358493,8,6,425.9499999999997,13.56966780138515,2
Activision,2013,45.36,48,0.9450000000000001,10,8,403.7200000000002,11.23550975923907,4
Activision,2014,44.65000000000001,45,0.9922222222222222,8,6,372.04999999999984,12.001075124311257,3
Activision,2015,36.07000000000001,42,0.8588095238095237,9,7,287.9499999999999,12.52648029171732,2
Activision,2016,19.46,29,0.6710344827586207,6,5,175.41000000000005,11.094008323356704,3
Activision,2017,32.349999999999994,10,3.2350000000000003,4,2,191.92000000000004,16.855981659024586,1
Activision,2018,19.389999999999993,10,1.939,4,2,147.96000000000004,13.104893214382258,2
Activision Blizzard,2014,0.48,1,0.48,1,1,372.04999999999984,0.12901491734981863,35
Activision Value,2001,0.21,1,0.21,1,1,356.80000000000007,0.058856502242152456,63
Activision Value,2002,0.09,1,0.09,1,1,423.5200000000001,0.021250472232716276,85
Activision Value,2003,0.97,2,0.485,2,1,404.3099999999997,0.2399149167717842,37
Activision Value,2004,0.06,1,0.06,1,1,443.5800000000001,0.013526308670363855,80
Activision Value,2005,0.05,1,0.05,1,1,509.8899999999998,0.009806036596128581,90
Activision Value,2006,0.25,3,0.08333333333333334,2,1,556.3399999999995,0.044936549591976176,50
Activision Value,2007,0.5800000000000001,4,0.14500000000000002,2,1,650.7300000000002,0.08913066863368829,52
Activision Value,2008,1.4600000000000002,9,0.1622222222222222,4,3,745.2800000000001,0.19589952769428942,41
Activision Value,2009,3.29,7,0.47000000000000003,4,1,721.5699999999994,0.4559502196599087,25
Acttil,2016,0.05,1,0.05,1,1,175.41000000000005,0.02850464625733994,72
Adeline Software,1996,0.17,1,0.17,1,1,219.55000000000004,0.07743110908676838,64
Aerosoft,2010,0.01,1,0.01,1,1,653.7199999999998,0.0015297069081563978,158
Aerosoft,2013,0.02,1,0.02,1,1,403.7200000000002,0.004953928465272959,78
Aerosoft,2017,0.1,2,0.05,1,1,191.92000000000004,0.052105043768236756,66
Agatsuma Entertainment,2004,0.08,1,0.08,1,1,443.5800000000001,0.018035078227151807,75
Agatsuma Entertainment,2010,0.01,1,0.01,1,1,653.7199999999998,0.0015297069081563978,158
Agatsuma Entertainment,2012,0.2,1,0.2,1,1,425.9499999999997,0.046953867824862106,55
Agatsuma Entertainment,2013,0.03,1,0.03,1,1,403.7200000000002,0.007430892697909438,74
Agetec,1997,0.03,1,0.03,1,1,221.29000000000005,0.013556871074156082,75
Agetec,1998,0.19,2,0.095,1,2,291.6100000000001,0.065155515928809,62
Agetec,1999,0.5800000000000001,5,0.116,1,4,311.97999999999996,0.1859093531636644,47
Agetec,2000,1.3800000000000001,3,0.46,1,3,239.17,0.576995442572229,29
Agetec,2001,1.2400000000000002,11,0.11272727272727273,3,7,356.80000000000007,0.3475336322869955,33
Agetec,2002,1.4800000000000002,4,0.37,1,3,423.5200000000001,0.3494522100491122,30
