appid,steam_name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,median_forever,price,initialprice,discount,ccu,genres,tags,languages,release_date,windows,mac,linux
4220030,Chicago 4th of July,Clumsy Boy Studios,Clumsy Boy Studios,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25|23|3,122|4342|5613|3810|4295|4175|4231|1774|1697|13190|4191|4145|6052|4115|1695|4252|4166|3834|3814|4182,NA,NA,TRUE,TRUE,TRUE
4220140,Mummy's Escape,Timtres Games,Timtres Games,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25|23|2,21|1664|9|4182|16094|7481|1684|492|5537|6129|5395|4191|1697|4252|3834,NA,NA,TRUE,FALSE,FALSE
4220870,Ball Busters,Daitomodachi Labs,Daitomodachi Labs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|23,19|42804|5673|7481|4158|6506|3955|1773|4305|1719|5154|1646|1716|492|4191|1697|4085|3993|4182|4777,NA,NA,FALSE,FALSE,FALSE
4223290,Mega Man: Dual Override,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19|1625|3798|5752|4182,NA,NA,TRUE,FALSE,FALSE
4224160,Scratch The Cat Playtest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/16/2026,TRUE,FALSE,FALSE
4228230,General Chaos - MAJOR SNAFU,Game Refuge Inc.,Game Refuge Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9|19|3993|7481|6730|3859|4182|7368|128|599|1676|1723|3871|1719|1678|1775|6426,NA,NA,TRUE,FALSE,FALSE
4228690,Black Gold - Shining Town,YYGames,Morexingame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4|23|3|2,12095|6650|597|3871|5984|1742|4182|1741|91114|4845|5372|3993|9130|9|122|5611|24904|492|17305|4085,NA,NA,TRUE,FALSE,FALSE
4229740,Spray,wo_ar|shiroizlata,wo_ar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|4|23|29|28,19|3859|15172|5125|4835|4252|4004|5395|128|492|4845|3916|597|4036|3843|3839|599|1685|6378|3810,NA,NA,TRUE,FALSE,FALSE
4234730,Chuppy Saves the Day,Dualarcade,Shady Corner Games,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,12095|597|4726|4947|7208|4182|7481|44868|24904|25085|1773|1664|5395|3871|4191|6650|4085|4305,NA,NA,TRUE,FALSE,TRUE
4234980,Blimpy Playtest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/09/2026,TRUE,FALSE,FALSE
4235630,NYRA: The Fall of Light,Valen Studios,Valen Studios,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19|4106|4342|5716|6276|7208|4231|4182|1697|4191|1742|5094|4166|4604,NA,NA,TRUE,FALSE,FALSE
4235700,Utopia: Birth of The Heroes,Mana Core Game Studios,Mana Core Game Studios,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|25|23|28,3799|4085|5608|4182|4172|3871|11014|5984|4486|5716|4345|4667|21|1742|1684|11333|492|4057|6971|6426,NA,NA,TRUE,FALSE,FALSE
4236370,Magus Day,Lost Crit,Lost Crit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|4|23,19|597|492|1685|3859|3843|5547|42804|1773|1716|3959|3871|1684|7481|4182,NA,NA,TRUE,FALSE,FALSE
4237450,StarStriker,NoNameGames,NoNameGames,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19|42804|56690|4004|1755|29482|4182|4562|4305|4252|4295|4885|4191|1716|3959|1774|3993|3942|1773|1646,NA,NA,TRUE,FALSE,FALSE
4240220,Pinball Realm,MYS Studio,SpaceJazz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|25|23|2,21|19|4305|4172|1741|1719|492|1643|1654|4136|12472|4325|9|1773|14139|4726|1625|3871|4791|4195,NA,NA,TRUE,FALSE,FALSE
4243060,Wings of Vi 2,Grynsoft,Grynsoft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|25|23,3877|3798|4747|3871|4182|3993|4726|10808|180368|5363|7481|4342|5379|5537|1646|21|19|6730|1625|4736,NA,NA,TRUE,FALSE,FALSE
4245090,Warp Mania,DNA Games Studio,DNA Games Studio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|23,5537|8666|4094|19|492|1755|3942|5154|4295|4182|29482|1752|699|1773|9|4191|7250|4305,NA,NA,TRUE,FALSE,FALSE
4245590,Cupid Parasite,Idea Factory,Idea Factory International,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25|28,3799|7208|4562|1719|4305|31579|6426|1742|4182|599|21|4085|4726|5984|4136|4486|3871,NA,NA,TRUE,FALSE,FALSE
4251710,EXSTETRA,FURYU CORPORATION,FURYU CORPORATION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,122|4434|4085|1684|4947|14139|5711|4182,NA,NA,FALSE,FALSE,FALSE
4257650,Hell Being,BitLife,BitLife,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|25,1628|3964|4166|3993|4182|3798|19|6730|21|1625|4106|3871|1721|1695,NA,NA,FALSE,FALSE,FALSE
