publisher,year,publisher_global_sales,game_count,avg_sales_per_game,platform_count,genre_count,source_url,year_total_sales,market_share_pct,publisher_rank_in_year
704Games,2017,0.25,2,0.125,2,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,191.92,0.13026260942059192,48
704Games,2018,0.23,2,0.115,2,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,147.96,0.15544741822114083,48
7G//AMES,2010,0.01,1,0.01,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,653.72,0.0015297069081563971,158
7G//AMES,2011,0.07,3,0.023333333333333334,2,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,575.04,0.012173066221480247,112
8-4,2018,0.02,1,0.02,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,147.96,0.013517166801838334,102
989 Sports,1999,0.38,1,0.38,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,311.98,0.12180267965895249,55
989 Studios,1997,0.52,2,0.26,1,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,221.29,0.23498576528537216,46
989 Studios,1998,7.97,7,1.1385714285714286,1,3,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,291.61,2.7331024313295154,10
989 Studios,1999,6.74,8,0.8425,1,3,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,311.98,2.1603948971087887,11
A1 Games,2001,0.02,1,0.02,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,356.8,0.005605381165919282,95
AIA,2003,0.05,1,0.05,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,404.31,0.012366748287205362,83
AIA,2004,0.05,1,0.05,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,443.58,0.011271923891969881,84
AQ Interactive,2007,0.16,1,0.16,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,650.73,0.024587770657569192,85
AQ Interactive,2008,0.22,1,0.22,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,745.28,0.029519106912838128,92
AQ Interactive,2009,0.15,3,0.05,3,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,721.57,0.020788003935862078,104
ASC Games,1996,1.31,1,1.31,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,219.55,0.5966750170803917,20
ASC Games,1998,0.66,1,0.66,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,291.61,0.22632968691059976,36
ASC Games,1999,0.05,1,0.05,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,311.98,0.016026668376177958,80
ASCII Entertainment,1994,0.87,1,0.87,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,97.46000000000001,0.8926739175046172,19
ASCII Entertainment,1995,1.25,2,0.625,1,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,109.02,1.1465786094294625,18
ASCII Entertainment,1996,2.87,5,0.5740000000000001,2,5,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,219.55,1.3072193122295603,13
ASCII Entertainment,1997,3.85,7,0.5499999999999999,3,5,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,221.29,1.7397984545166976,15
ASCII Entertainment,1998,0.8,5,0.16,3,5,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,291.61,0.27433901443709063,33
ASCII Entertainment,1999,1.9,4,0.475,2,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,311.98,0.6090133982947624,27
ASCII Entertainment,2001,0.32,1,0.32,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,356.8,0.08968609865470852,58
ASCII Media Works,2008,0.06,2,0.03,2,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,745.28,0.008050665521683126,136
ASCII Media Works,2009,0.08,3,0.02666666666666667,1,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,721.57,0.011086935432459774,132
ASCII Media Works,2010,0.12000000000000001,3,0.04,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,653.72,0.01835648289787677,105
ASCII Media Works,2011,0.01,1,0.01,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,575.04,0.0017390094602114637,142
ASCII Media Works,2014,0.01,1,0.01,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,372.05,0.0026878107781212203,81
ASK,1996,0.03,1,0.03,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,219.55,0.013664313368253245,83
Abel,2009,0.01,1,0.01,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,721.57,0.0013858669290574717,178
Abylight,2010,0.08,1,0.08,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,653.72,0.012237655265251177,117
Acclaim Entertainment,1993,1.93,1,1.93,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,57.019999999999996,3.3847772711329362,8
Acclaim Entertainment,1994,10.09,10,1.0090000000000001,5,3,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,97.46000000000001,10.352965319105273,2
